Sr. No.,State/ UT Name,2013-14 - Funds expended (Rs. in lakhs),2014-15 - Funds expended (Rs. in lakhs),2015-16 - Funds expended (Rs. in lakhs),2016-17 - Funds released (As on 28/02/2017) (Rs. in lakhs)
1,Andhra Pradesh,3817.43,1178.57,0,1565.55
2,Telangana,0,1010.39,0,1009.59
3,Arunachal Pradesh,0,325.51,*,180.84
4,Assam,1779.49,1783.21,1783.22,1783.22
5,Bihar,0,0,1181.03,2668.71
6,Chhattisgarh,1347.47,1411.11,223.5,1403.59
7,Goa,0,32.22,1.91,37.59
8,Gujarat,960.54,385.64,1131.63,1756.56
9,Haryana,0,0,0,771.18
10,Himachal Pradesh,0,746.22,*,559.62
11,Jammu & Kashmir,0,415.23,*,869.82
12,Jharkhand,852.7,899.51,530.14,1114.71
13,Karnataka,618.59,182.45,*,1885.59
14,Kerala,0,1730.42,*,991.53
15,Madhya Pradesh,986.47,2094.65,3074.39,2585.49
16,Maharashtra,694.83,974.75,329.65,3082.94
17,Manipur,0,289.68,*,322.02
18,Meghalaya,85.34,122.55,0,157.89
19,Mizoram,0,67.32,67.32,67.32
20,Nagaland,182.55,93.29,103.65,103.65
21,Odisha,276.88,1489.46,108.08,1985.94
22,Punjab,508.21,154.2,0,781.38
23,Rajasthan,0,0,0,1740.06
24,Sikkim,0,0,*,38.73
25,Tamil Nadu,1403.16,1559.07,935.43,1559.07
26,Tripura,297.32,270.52,0,297.33
27,Uttar Pradesh,536.27,4071.45,3115.3,5307.12
28,Uttrakhand,0,0,0,511.5
29,West Bengal,57.11,1849.58,*,3442.89
30,A & N Islands,2.34,18.53,*,21.15
31,Chandigarh,14.99,14.99,14.66,15
32,Delhi,87.07,0,*,326.91
33,Dadra & N Haveli,0,0,0,8.04
34,Daman & Diu,0,2.8,1.19,3.06
35,Lakshadweep,0,0,0,3.06
36,Puducherry,23.64,22.42,0,25.65
Total,Total,14532.32,23195.74,12601.1,38984.3
